lab_categoria,variable,pregunta,Codigo,sub_cat,Desglose,Porcentaje,seccion
Regular,imsscovid,¿Cómo califica la actuación del IMSS ante la actual contingencia sanitaria Covid-19?,3,Nacional,Nacional,29.59250659,Actuación del IMSS ante la contingencia sanitaria por Covid-19
Mala,imsscovid,¿Cómo califica la actuación del IMSS ante la actual contingencia sanitaria Covid-19?,4,Nacional,Nacional,6.5290295,Actuación del IMSS ante la contingencia sanitaria por Covid-19
Pésima,imsscovid,¿Cómo califica la actuación del IMSS ante la actual contingencia sanitaria Covid-19?,5,Nacional,Nacional,3.37440653,Actuación del IMSS ante la contingencia sanitaria por Covid-19
No quiero responder,imsscovid,¿Cómo califica la actuación del IMSS ante la actual contingencia sanitaria Covid-19?,96,Nacional,Nacional,0.28843452,Actuación del IMSS ante la contingencia sanitaria por Covid-19
No sé,imsscovid,¿Cómo califica la actuación del IMSS ante la actual contingencia sanitaria Covid-19?,99,Nacional,Nacional,2.18433639,Actuación del IMSS ante la contingencia sanitaria por Covid-19
Mejor que las otras,imsscomp,"Comparada con otras instituciones de salud, ¿cómo considera las medidas que ha ejercido el IMSS para enfrentar la pandemia por Covid-19?",1,Nacional,Nacional,23.22810895,Actuación del IMSS ante la contingencia sanitaria por Covid-19
Igual que las otras,imsscomp,"Comparada con otras instituciones de salud, ¿cómo considera las medidas que ha ejercido el IMSS para enfrentar la pandemia por Covid-19?",2,Nacional,Nacional,52.33996493,Actuación del IMSS ante la contingencia sanitaria por Covid-19
Peor que las otras,imsscomp,"Comparada con otras instituciones de salud, ¿cómo considera las medidas que ha ejercido el IMSS para enfrentar la pandemia por Covid-19?",3,Nacional,Nacional,10.26786358,Actuación del IMSS ante la contingencia sanitaria por Covid-19
No quiero responder,imsscomp,"Comparada con otras instituciones de salud, ¿cómo considera las medidas que ha ejercido el IMSS para enfrentar la pandemia por Covid-19?",96,Nacional,Nacional,1.13852444,Actuación del IMSS ante la contingencia sanitaria por Covid-19
No sé,imsscomp,"Comparada con otras instituciones de salud, ¿cómo considera las medidas que ha ejercido el IMSS para enfrentar la pandemia por Covid-19?",99,Nacional,Nacional,13.02553809,Actuación del IMSS ante la contingencia sanitaria por Covid-19
Sí,atnpref,¿Considera que en las unidades médicas del IMSS se brinda atención igual a todas las personas usuarias?,1,Nacional,Nacional,45.20501909,Preferencias en la atención
No,atnpref,¿Considera que en las unidades médicas del IMSS se brinda atención igual a todas las personas usuarias?,2,Nacional,Nacional,39.78038399,Preferencias en la atención
No quiero responder,atnpref,¿Considera que en las unidades médicas del IMSS se brinda atención igual a todas las personas usuarias?,96,Nacional,Nacional,0.81062632,Preferencias en la atención
No sé,atnpref,¿Considera que en las unidades médicas del IMSS se brinda atención igual a todas las personas usuarias?,99,Nacional,Nacional,14.2039706,Preferencias en la atención
Muy frecuentemente,atnpref2_a,¿Con qué frecuencia ha observado que en las unidades médicas del IMSS se presentan actos que podrían percibirse como prácticas de corrupción?,1,Nacional,Nacional,4.14147634,Transparencia y posibles acciones de corrupción
Frecuentemente,atnpref2_a,¿Con qué frecuencia ha observado que en las unidades médicas del IMSS se presentan actos que podrían percibirse como prácticas de corrupción?,2,Nacional,Nacional,11.6752498,Transparencia y posibles acciones de corrupción
Poco frecuente,atnpref2_a,¿Con qué frecuencia ha observado que en las unidades médicas del IMSS se presentan actos que podrían percibirse como prácticas de corrupción?,3,Nacional,Nacional,25.63604192,Transparencia y posibles acciones de corrupción
Nunca,atnpref2_a,¿Con qué frecuencia ha observado que en las unidades médicas del IMSS se presentan actos que podrían percibirse como prácticas de corrupción?,4,Nacional,Nacional,36.95070856,Transparencia y posibles acciones de corrupción
No quiero responder,atnpref2_a,¿Con qué frecuencia ha observado que en las unidades médicas del IMSS se presentan actos que podrían percibirse como prácticas de corrupción?,96,Nacional,Nacional,1.95529364,Transparencia y posibles acciones de corrupción
No sé,atnpref2_a,¿Con qué frecuencia ha observado que en las unidades médicas del IMSS se presentan actos que podrían percibirse como prácticas de corrupción?,99,Nacional,Nacional,19.64122974,Transparencia y posibles acciones de corrupción
Sí,corrup1,"¿Los servidores públicos o empleados de la unidad médica a la que acudió en su última visita, le solicitaron regalos, favores o dinero, para agilizar trámites, procedimientos o brindarle algún servicio?",1,Nacional,Nacional,1.23876149,Transparencia y posibles acciones de corrupción
No,corrup1,"¿Los servidores públicos o empleados de la unidad médica a la que acudió en su última visita, le solicitaron regalos, favores o dinero, para agilizar trámites, procedimientos o brindarle algún servicio?",2,Nacional,Nacional,96.19802662,Transparencia y posibles acciones de corrupción
No quiero responder,corrup1,"¿Los servidores públicos o empleados de la unidad médica a la que acudió en su última visita, le solicitaron regalos, favores o dinero, para agilizar trámites, procedimientos o brindarle algún servicio?",96,Nacional,Nacional,1.02943223,Transparencia y posibles acciones de corrupción
No sé,corrup1,"¿Los servidores públicos o empleados de la unidad médica a la que acudió en su última visita, le solicitaron regalos, favores o dinero, para agilizar trámites, procedimientos o brindarle algún servicio?",99,Nacional,Nacional,1.53377966,Transparencia y posibles acciones de corrupción
Sí,covid_diag1,"De noviembre de 2020 a la fecha, ¿usted ha sido diagnosticado con Covid-19?",1,Nacional,Nacional,15.51224385,Diagnóstico de Covid-19 de personas usuarias y familiares
No,covid_diag1,"De noviembre de 2020 a la fecha, ¿usted ha sido diagnosticado con Covid-19?",2,Nacional,Nacional,83.1732235,Diagnóstico de Covid-19 de personas usuarias y familiares
No quiero responder,covid_diag1,"De noviembre de 2020 a la fecha, ¿usted ha sido diagnosticado con Covid-19?",96,Nacional,Nacional,0.23848377,Diagnóstico de Covid-19 de personas usuarias y familiares
No sé,covid_diag1,"De noviembre de 2020 a la fecha, ¿usted ha sido diagnosticado con Covid-19?",99,Nacional,Nacional,1.07604888,Diagnóstico de Covid-19 de personas usuarias y familiares
Sí,covid_def,"En su hogar, ¿ha fallecido algún familiar por Covid-19 de noviembre de 2020 a la fecha?",1,Nacional,Nacional,19.62341285,Diagnóstico de Covid-19 de personas usuarias y familiares
No,covid_def,"En su hogar, ¿ha fallecido algún familiar por Covid-19 de noviembre de 2020 a la fecha?",2,Nacional,Nacional,79.81925008,Diagnóstico de Covid-19 de personas usuarias y familiares
No quiero responder,covid_def,"En su hogar, ¿ha fallecido algún familiar por Covid-19 de noviembre de 2020 a la fecha?",96,Nacional,Nacional,0.15767602,Diagnóstico de Covid-19 de personas usuarias y familiares
No sé,covid_def,"En su hogar, ¿ha fallecido algún familiar por Covid-19 de noviembre de 2020 a la fecha?",99,Nacional,Nacional,0.39966106,Diagnóstico de Covid-19 de personas usuarias y familiares
Muy protegido(a),protec_vac,"Si se vacunara contra el Covid-19, ¿cómo considera que será el nivel de protección en su salud ante un posible contagio de esta enfermedad?",1,Nacional,Nacional,17.65943628,Vacunación contra Covid-19 y expectativas sobre el final de la pandemia
Protegido(a),protec_vac,"Si se vacunara contra el Covid-19, ¿cómo considera que será el nivel de protección en su salud ante un posible contagio de esta enfermedad?",2,Nacional,Nacional,50.4287411,Vacunación contra Covid-19 y expectativas sobre el final de la pandemia
Regular,protec_vac,"Si se vacunara contra el Covid-19, ¿cómo considera que será el nivel de protección en su salud ante un posible contagio de esta enfermedad?",3,Nacional,Nacional,21.20330737,Vacunación contra Covid-19 y expectativas sobre el final de la pandemia
Poco protegido(a),protec_vac,"Si se vacunara contra el Covid-19, ¿cómo considera que será el nivel de protección en su salud ante un posible contagio de esta enfermedad?",4,Nacional,Nacional,3.92734745,Vacunación contra Covid-19 y expectativas sobre el final de la pandemia
Nada protegido(a),protec_vac,"Si se vacunara contra el Covid-19, ¿cómo considera que será el nivel de protección en su salud ante un posible contagio de esta enfermedad?",5,Nacional,Nacional,1.27344605,Vacunación contra Covid-19 y expectativas sobre el final de la pandemia
No deseo responder,protec_vac,"Si se vacunara contra el Covid-19, ¿cómo considera que será el nivel de protección en su salud ante un posible contagio de esta enfermedad?",96,Nacional,Nacional,0.47035118,Vacunación contra Covid-19 y expectativas sobre el final de la pandemia
No quiero vacunarme,protec_vac,"Si se vacunara contra el Covid-19, ¿cómo considera que será el nivel de protección en su salud ante un posible contagio de esta enfermedad?",97,Nacional,Nacional,1.51229042,Vacunación contra Covid-19 y expectativas sobre el final de la pandemia
No sé,protec_vac,"Si se vacunara contra el Covid-19, ¿cómo considera que será el nivel de protección en su salud ante un posible contagio de esta enfermedad?",99,Nacional,Nacional,3.52508015,Vacunación contra Covid-19 y expectativas sobre el final de la pandemia
Gran esperanza,esperanza,¿Qué tanta esperanza tiene de que estamos cerca del final de la pandemia y que pronto se volverá a las actividades normales?,1,Nacional,Nacional,32.9996007,Vacunación contra Covid-19 y expectativas sobre el final de la pandemia
Regular,esperanza,¿Qué tanta esperanza tiene de que estamos cerca del final de la pandemia y que pronto se volverá a las actividades normales?,2,Nacional,Nacional,35.91115947,Vacunación contra Covid-19 y expectativas sobre el final de la pandemia
Poca esperanza,esperanza,¿Qué tanta esperanza tiene de que estamos cerca del final de la pandemia y que pronto se volverá a las actividades normales?,3,Nacional,Nacional,23.23790397,Vacunación contra Covid-19 y expectativas sobre el final de la pandemia
Nada de esperanza,esperanza,¿Qué tanta esperanza tiene de que estamos cerca del final de la pandemia y que pronto se volverá a las actividades normales?,4,Nacional,Nacional,5.66866016,Vacunación contra Covid-19 y expectativas sobre el final de la pandemia
No deseo responder,esperanza,¿Qué tanta esperanza tiene de que estamos cerca del final de la pandemia y que pronto se volverá a las actividades normales?,96,Nacional,Nacional,0.41039369,Vacunación contra Covid-19 y expectativas sobre el final de la pandemia
No sé,esperanza,¿Qué tanta esperanza tiene de que estamos cerca del final de la pandemia y que pronto se volverá a las actividades normales?,99,Nacional,Nacional,1.77228201,Vacunación contra Covid-19 y expectativas sobre el final de la pandemia
1 a 2,covid_diagf2_x,"De noviembre de 2020 a la fecha, ¿cuántos familiares en su hogar fueron diagnosticados con Covid-19?",1,Nacional,Nacional,15.1076775,Diagnóstico de Covid-19 de personas usuarias y familiares
3 a 4,covid_diagf2_x,"De noviembre de 2020 a la fecha, ¿cuántos familiares en su hogar fueron diagnosticados con Covid-19?",2,Nacional,Nacional,7.22880431,Diagnóstico de Covid-19 de personas usuarias y familiares
más de 4,covid_diagf2_x,"De noviembre de 2020 a la fecha, ¿cuántos familiares en su hogar fueron diagnosticados con Covid-19?",3,Nacional,Nacional,4.8570182,Diagnóstico de Covid-19 de personas usuarias y familiares
No quiero responder,covid_diagf2_x,"De noviembre de 2020 a la fecha, ¿cuántos familiares en su hogar fueron diagnosticados con Covid-19?",96,Nacional,Nacional,1.2101316,Diagnóstico de Covid-19 de personas usuarias y familiares
Ninguno,covid_diagf2_x,"De noviembre de 2020 a la fecha, ¿cuántos familiares en su hogar fueron diagnosticados con Covid-19?",97,Nacional,Nacional,68.43453894,Diagnóstico de Covid-19 de personas usuarias y familiares
No sé,covid_diagf2_x,"De noviembre de 2020 a la fecha, ¿cuántos familiares en su hogar fueron diagnosticados con Covid-19?",99,Nacional,Nacional,3.16182944,Diagnóstico de Covid-19 de personas usuarias y familiares
Noviembre 2020,covid_diag2,¿Recuerda el mes de diagnóstico?,1,Nacional,Nacional,33.1518119,Diagnóstico de Covid-19 de personas usuarias y familiares
Diciembre 2020,covid_diag2,¿Recuerda el mes de diagnóstico?,2,Nacional,Nacional,29.47364054,Diagnóstico de Covid-19 de personas usuarias y familiares
Enero 2021,covid_diag2,¿Recuerda el mes de diagnóstico?,3,Nacional,Nacional,17.26436545,Diagnóstico de Covid-19 de personas usuarias y familiares
Febrero 2021,covid_diag2,¿Recuerda el mes de diagnóstico?,4,Nacional,Nacional,7.67437239,Diagnóstico de Covid-19 de personas usuarias y familiares
Marzo 2021,covid_diag2,¿Recuerda el mes de diagnóstico?,5,Nacional,Nacional,4.42977704,Diagnóstico de Covid-19 de personas usuarias y familiares
Abril 2021,covid_diag2,¿Recuerda el mes de diagnóstico?,6,Nacional,Nacional,3.02096108,Diagnóstico de Covid-19 de personas usuarias y familiares
No quiero responder,covid_diag2,¿Recuerda el mes de diagnóstico?,96,Nacional,Nacional,1.15908628,Diagnóstico de Covid-19 de personas usuarias y familiares
No sé,covid_diag2,¿Recuerda el mes de diagnóstico?,999,Nacional,Nacional,3.82598532,Diagnóstico de Covid-19 de personas usuarias y familiares
"Sí, en un hospital del IMSS",covid_diag3,"Debido al diagnóstico de Covid – 19, ¿fue usted internado en un hospital?",1,Nacional,Nacional,6.32803661,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
"Sí, en un hospital diferente al IMSS",covid_diag3,"Debido al diagnóstico de Covid – 19, ¿fue usted internado en un hospital?",2,Nacional,Nacional,3.04536565,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
No,covid_diag3,"Debido al diagnóstico de Covid – 19, ¿fue usted internado en un hospital?",3,Nacional,Nacional,90.32060279,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
No quiero responder,covid_diag3,"Debido al diagnóstico de Covid – 19, ¿fue usted internado en un hospital?",96,Nacional,Nacional,0.21819336,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
No sé,covid_diag3,"Debido al diagnóstico de Covid – 19, ¿fue usted internado en un hospital?",99,Nacional,Nacional,0.08780159,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
"Sí, en un hospital del IMSS",covid_diagf3,"De noviembre de 2020 a la fecha, debido al diagnóstico de Covid – 19, ¿algún familiar fue internado en un hospital?",1,Nacional,Nacional,16.29469224,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
"Sí, en un hospital diferente al IMSS",covid_diagf3,"De noviembre de 2020 a la fecha, debido al diagnóstico de Covid – 19, ¿algún familiar fue internado en un hospital?",2,Nacional,Nacional,11.12647469,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
No,covid_diagf3,"De noviembre de 2020 a la fecha, debido al diagnóstico de Covid – 19, ¿algún familiar fue internado en un hospital?",3,Nacional,Nacional,72.13397885,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
No sé/No quiero responder,covid_diagf3,"De noviembre de 2020 a la fecha, debido al diagnóstico de Covid – 19, ¿algún familiar fue internado en un hospital?",99,Nacional,Nacional,0.44485422,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
Muy protegido(a),protec_med,"¿Qué tan protegido(a) se siente con las medidas de seguridad que ha establecido el IMSS, en las unidades médicas para evitar el contagio de Covid-19?",1,Nacional,Nacional,14.17324794,Percepción de seguridad en las unidades médicas del IMSS
Protegido(a),protec_med,"¿Qué tan protegido(a) se siente con las medidas de seguridad que ha establecido el IMSS, en las unidades médicas para evitar el contagio de Covid-19?",2,Nacional,Nacional,39.47514502,Percepción de seguridad en las unidades médicas del IMSS
Regular,protec_med,"¿Qué tan protegido(a) se siente con las medidas de seguridad que ha establecido el IMSS, en las unidades médicas para evitar el contagio de Covid-19?",3,Nacional,Nacional,30.58578513,Percepción de seguridad en las unidades médicas del IMSS
Poco protegido(a),protec_med,"¿Qué tan protegido(a) se siente con las medidas de seguridad que ha establecido el IMSS, en las unidades médicas para evitar el contagio de Covid-19?",4,Nacional,Nacional,9.31883141,Percepción de seguridad en las unidades médicas del IMSS
Nada protegido(a),protec_med,"¿Qué tan protegido(a) se siente con las medidas de seguridad que ha establecido el IMSS, en las unidades médicas para evitar el contagio de Covid-19?",5,Nacional,Nacional,5.39507191,Percepción de seguridad en las unidades médicas del IMSS
No deseo responder,protec_med,"¿Qué tan protegido(a) se siente con las medidas de seguridad que ha establecido el IMSS, en las unidades médicas para evitar el contagio de Covid-19?",96,Nacional,Nacional,0.26474923,Percepción de seguridad en las unidades médicas del IMSS
No sé,protec_med,"¿Qué tan protegido(a) se siente con las medidas de seguridad que ha establecido el IMSS, en las unidades médicas para evitar el contagio de Covid-19?",99,Nacional,Nacional,0.78716936,Percepción de seguridad en las unidades médicas del IMSS
Desde casa,trabajo,"Durante la época actual de contingencia sanitaria por Covid-19, ¿en dónde desarrolla sus actividades laborales?",1,Nacional,Nacional,27.50279036,Trabajo en casa
Desde mi lugar de trabajo,trabajo,"Durante la época actual de contingencia sanitaria por Covid-19, ¿en dónde desarrolla sus actividades laborales?",2,Nacional,Nacional,40.55275988,Trabajo en casa
Desde casa y desde mi lugar de trabajo,trabajo,"Durante la época actual de contingencia sanitaria por Covid-19, ¿en dónde desarrolla sus actividades laborales?",3,Nacional,Nacional,11.7404521,Trabajo en casa
No deseo responder,trabajo,"Durante la época actual de contingencia sanitaria por Covid-19, ¿en dónde desarrolla sus actividades laborales?",96,Nacional,Nacional,0.86166151,Trabajo en casa
No trabajo,trabajo,"Durante la época actual de contingencia sanitaria por Covid-19, ¿en dónde desarrolla sus actividades laborales?",97,Nacional,Nacional,19.20079754,Trabajo en casa
No sé,trabajo,"Durante la época actual de contingencia sanitaria por Covid-19, ¿en dónde desarrolla sus actividades laborales?",99,Nacional,Nacional,0.14153861,Trabajo en casa
Sí,salud_m_a,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Ansiedad",1,Nacional,Nacional,51.35461954,Salud mental ante el distanciamiento social
No,salud_m_a,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Ansiedad",2,Nacional,Nacional,45.74667384,Salud mental ante el distanciamiento social
No quiero responder,salud_m_a,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Ansiedad",96,Nacional,Nacional,0.55582298,Salud mental ante el distanciamiento social
No sé,salud_m_a,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Ansiedad",99,Nacional,Nacional,2.34288365,Salud mental ante el distanciamiento social
Sí,salud_m_b,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Irritación",1,Nacional,Nacional,48.44129151,Salud mental ante el distanciamiento social
No,salud_m_b,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Irritación",2,Nacional,Nacional,48.93142275,Salud mental ante el distanciamiento social
No quiero responder,salud_m_b,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Irritación",96,Nacional,Nacional,0.51295382,Salud mental ante el distanciamiento social
No sé,salud_m_b,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Irritación",99,Nacional,Nacional,2.11433192,Salud mental ante el distanciamiento social
Sí,salud_m_c,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Deprimido(a) sin esperanzas",1,Nacional,Nacional,31.39708258,Salud mental ante el distanciamiento social
No,salud_m_c,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Deprimido(a) sin esperanzas",2,Nacional,Nacional,63.96264685,Salud mental ante el distanciamiento social
No quiero responder,salud_m_c,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Deprimido(a) sin esperanzas",96,Nacional,Nacional,0.74507258,Salud mental ante el distanciamiento social
No sé,salud_m_c,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Deprimido(a) sin esperanzas",99,Nacional,Nacional,3.89519799,Salud mental ante el distanciamiento social
Sí,salud_m_d,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Poca energía para desarrollar actividades físicas",1,Nacional,Nacional,51.22898596,Salud mental ante el distanciamiento social
No,salud_m_d,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Poca energía para desarrollar actividades físicas",2,Nacional,Nacional,46.53087559,Salud mental ante el distanciamiento social
No quiero responder,salud_m_d,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Poca energía para desarrollar actividades físicas",96,Nacional,Nacional,0.57265941,Salud mental ante el distanciamiento social
No sé,salud_m_d,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Poca energía para desarrollar actividades físicas",99,Nacional,Nacional,1.66747904,Salud mental ante el distanciamiento social
Sí,salud_m_e,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Dificultad para dormir",1,Nacional,Nacional,48.67554245,Salud mental ante el distanciamiento social
No,salud_m_e,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Dificultad para dormir",2,Nacional,Nacional,49.52563039,Salud mental ante el distanciamiento social
No quiero responder,salud_m_e,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Dificultad para dormir",96,Nacional,Nacional,0.48768271,Salud mental ante el distanciamiento social
No sé,salud_m_e,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Dificultad para dormir",99,Nacional,Nacional,1.31114445,Salud mental ante el distanciamiento social
Sí,salud_m_f,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Alteraciones en su salud (dolor de cabeza, dolores estomacales, do",1,Nacional,Nacional,44.83920711,Salud mental ante el distanciamiento social
No,salud_m_f,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Alteraciones en su salud (dolor de cabeza, dolores estomacales, do",2,Nacional,Nacional,52.99729368,Salud mental ante el distanciamiento social
No quiero responder,salud_m_f,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Alteraciones en su salud (dolor de cabeza, dolores estomacales, do",96,Nacional,Nacional,0.6487167,Salud mental ante el distanciamiento social
No sé,salud_m_f,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Alteraciones en su salud (dolor de cabeza, dolores estomacales, do",99,Nacional,Nacional,1.51478251,Salud mental ante el distanciamiento social
Sí,infimss,"En los últimos 3 meses, ¿ha recibido, visto o escuchado algún tipo de información sobre el Covid-19, por parte del IMSS?",1,Nacional,Nacional,55.91580564,Difusión de información sobre Covid-19
No,infimss,"En los últimos 3 meses, ¿ha recibido, visto o escuchado algún tipo de información sobre el Covid-19, por parte del IMSS?",2,Nacional,Nacional,41.08586222,Difusión de información sobre Covid-19
